date,water_level_mm,year,month,lag_1,lag_7,lag_14,lag_28,lag_56,lag_84,rolling_mean_28,rolling_mean_84,weekly_sum,lag_7_weekly_sum,week_over_week_pct,significant_rain_days,days_since_significant_rain,quarter,wet_season,wet_dry_flag,season_start_year,days_into_season,target_30,target_60,target_90,lag_1_target_30
2000-03-25,2.667251868988226,2000,3,7.03853298411437,5.152589873184957,0.8665766371069182,0.7136036849220917,1.2563911214512145,9.107800644370396,2.4366435814275422,2.9461252254535686,21.04424122626123,25.828300760576596,-18.522548496947906,True,0,1,3.0,True,1999,84,47.77855319902983,64.3675261311636,72.97563733041623,50.11694001151125
2000-03-26,5.065514438210892,2000,3,2.667251868988226,1.0816874819285642,1.942799280340624,0.6278044771479695,0.0681203815691676,5.781267694627068,2.595133222894075,2.9376043533533758,25.02806818254356,24.96718896216454,0.2438369031903368,True,0,1,3.0,True,1999,85,43.15114089815717,60.45994628910297,67.91013959591074,47.77855319902983
2000-03-27,3.8691309362624535,2000,3,5.065514438210892,3.774888232574252,1.212184563277793,0.7992396950237506,0.0547668731560194,1.8293042870677692,2.7047721957954574,2.961888003939027,25.122310886231762,27.529892631460996,-8.745336487356523,True,0,1,3.0,True,1999,86,39.38966238364178,57.07152602540218,64.0421345342521,43.15114089815717
2000-03-28,2.482193112609946,2000,3,3.8691309362624535,1.0872846137321774,1.5068393982469226,1.6220729519205752,0.1195731543239087,2.341146595285941,2.7354907729629354,2.963567129145265,26.51721938510953,27.11033784694625,-2.187794431722769,True,0,1,3.0,True,1999,87,37.15618438306072,54.59009491446441,61.559941421642165,39.38966238364178
2000-03-29,3.0106405936138825,2000,3,2.482193112609946,1.3443263037773785,2.519668268082045,3.079030827363871,0.8814775305765439,5.645531711459638,2.7330482646147205,2.9321993777423394,28.183533674946034,25.934995882641584,8.66989839705125,True,0,1,3.0,True,1999,88,34.79124044073737,51.75233434001984,58.54930082802828,37.15618438306072
2000-03-30,3.556415857385629,2000,3,3.0106405936138825,4.0502697411462645,7.566825545656814,4.599469473769398,0.86047308678503,8.737618329882237,2.695796349743872,2.870518395926904,27.689679791185398,22.418440078131034,23.51296385780385,True,0,1,3.0,True,1999,89,34.1166798977941,48.63630073424838,54.998617120199796,34.79124044073737
2000-03-31,1.8786433779465663,2000,3,3.556415857385629,7.03853298411437,5.927393831787441,1.86081848703712,0.8167072450220525,4.639824162495415,2.696432952990638,2.837647196110846,22.529790185017596,23.529579230457962,-4.249073201216386,True,0,1,3.0,True,1999,90,33.36398348036302,47.13805924047907,53.121603157936214,34.1166798977941
2000-04-01,0.9304677986248104,2000,4,1.8786433779465663,2.667251868988226,5.152589873184957,2.5930345448147354,2.692336126085794,1.971136077945042,2.6370555691981403,2.8252582880237007,20.793006114654183,21.04424122626123,-1.193842576246135,False,1,2,4.0,True,1999,91,34.1299523391632,46.21736791781041,52.24022788188699,33.36398348036302
2000-04-02,3.153553043160903,2000,4,0.9304677986248104,5.065514438210892,1.0816874819285642,0.4166689743543357,7.5763967853128,0.7131634942193106,2.734801428798375,2.8543105445587194,18.88104471960419,25.02806818254356,-24.560519086434173,True,0,2,4.0,True,1999,92,32.79030062848959,43.06522739545147,49.09964718798086,34.1299523391632
2000-04-03,3.1808474829629247,2000,4,3.153553043160903,3.8691309362624535,3.774888232574252,1.6608525113429753,8.918859775025403,0.4823100617290583,2.789086963499088,2.886435990049599,18.19276126630466,25.122310886231762,-27.583249213450458,True,0,2,4.0,True,1999,93,32.46272289708859,40.09305647472638,45.91907738903876,32.79030062848959
2000-04-04,1.698670968584438,2000,4,3.1808474829629247,2.482193112609946,1.0872846137321774,0.1712365971756303,7.12746769403562,1.1405676820515849,2.843638191049402,2.8930800767940372,17.409239122279153,26.51721938510953,-34.34741829659889,True,0,2,4.0,True,1999,94,32.13987105957868,38.463038668476024,44.27443758731028,32.46272289708859
2000-04-05,1.4606973834812822,2000,4,1.698670968584438,3.0106405936138825,1.3443263037773785,0.0328725306042578,7.002152770617834,0.6053386893816848,2.8946319357950108,2.9032629183904612,15.859295912146553,28.183533674946034,-43.72850439884763,False,1,2,4.0,True,1999,95,32.55941912001369,37.08804169229435,42.814429078650896,32.13987105957868
2000-04-06,0.5314448813120867,2000,4,1.4606973834812822,3.556415857385629,4.0502697411462645,1.848283049471653,5.82298080327188,0.2206324761394993,2.847602001217883,2.906963066071087,12.83432493607301,27.689679791185398,-53.64942811596316,False,2,2,4.0,True,1999,96,32.22913807859359,37.18090113237367,42.28541486111532,32.55941912001369
2000-04-07,0.0004085621247722,2000,4,0.5314448813120867,1.8786433779465663,7.03853298411437,1.17551753600016,5.741105285900074,0.8436535044046628,2.8056338235794764,2.8969244358058504,10.956090120251217,22.529790185017596,-51.37065178912735,False,3,2,4.0,True,1999,97,32.27069934041946,37.2274195282881,42.419347137887755,32.22913807859359
2000-04-08,0.0,2000,4,0.0004085621247722,0.9304677986248104,2.667251868988226,0.8665766371069182,4.217736131650826,4.505724007376668,2.774684657968515,2.8432848642894615,10.025622321626406,20.793006114654183,-51.78368021273895,False,4,2,4.0,True,1999,98,32.32414079434438,37.386175189388,42.49757247112104,32.27069934041946
2000-04-09,0.0057100729604491,2000,4,0.0,3.153553043160903,5.065514438210892,1.942799280340624,5.546267327864992,2.451652912131304,2.70550290056208,2.8141664971564753,6.877779351425953,18.88104471960419,-63.57309961622646,False,5,2,4.0,True,1999,99,32.320387174701075,37.393225319803754,42.49947033906098,32.32414079434438
